Hotel Name,Rating,Location,Price,Tax,City,Star,Mini Fridge,Wi-Fi,House Keeping,Seating Area,Parking,AC,Meals,Swimming Pool
"President, Mumbai - IHCL SeleQtions",4.4,South Mumbai ,"10,400",,Mumbai,4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
Novotel Mumbai Juhu Beach,3.6,Juhu ,"8,500",,Mumbai,3,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
Ibis Mumbai Airport - An Accor Brand,3.6,Near Mumbai Airport ,"6,499",,Mumbai,3,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
"Ginger Mumbai, Andheri (MIDC)",3.4,Jogeshwari East ,"2,624",,Mumbai,3,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
Lakeside Chalet Marriott Executive Apartments,4.1,Powai ,"9,000",,Mumbai,3,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
"Lemon Tree Hotel, Kalina, Mumbai",3.3,Bandra Kurla Complex ,"4,975","1,806",Mumbai,3,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
Ramee Guestline Hotel Juhu,3.6,Juhu ,"5,275","1,430",Mumbai,3,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
Ramee Techome,4,Khar West ,"6,231","1,273",Mumbai,3,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
Shabana,3.5,Colaba ,"1,304",355,Mumbai,3,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
Hotel Bawa International,4,Near Mumbai Airport ,"5,000",,Mumbai,3,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
"Ginger Mumbai, Goregaon",3.8,Goregaon ,"3,224",,Mumbai,3,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
Grand Hyatt Mumbai,4.3,Near Mumbai Airport ,"20,000",,Mumbai,4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Hotel Marine Plaza,4.2,Churchgate ,"9,449","1,701",Mumbai,3,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
"Lemon Tree Premier, Mumbai International Airport, Mumbai",4.2,Near Mumbai Airport ,"3,566","1,294",Mumbai,3,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
Hotel Airport International,3.7,Near Mumbai Airport ,"3,255",770,Mumbai,3,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
Dragonfly Hotel - The Art Hotel,3.5,Near Mumbai Airport ,"3,035",935,Mumbai,3,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
Four Seasons Hotel Mumbai,4.4,South Mumbai,"49,000",,Mumbai,5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Gateway Inn | Rooms in an Apartment,3.2,Near Mumbai Airport ,"1,839",495,Mumbai,3,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"The Oberoi, Mumbai",4.7,Marine Drive ,"16,750",,Mumbai,4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Hotel Jyoti Dwelling,4.2,Near Mumbai Airport ,"2,232",456,Mumbai,3,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
Indie Stays,3.9,Bandra Kurla Complex ,"6,975","1,425",Mumbai,3,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
Meluha - The Fern,4.4,Powai ,"7,109","1,911",Mumbai,3,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
Afra dormitory,4.8,Andheri East ,848,228,Mumbai,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Hotel Airlink,3.8,Near Mumbai Airport ,"3,204",798,Mumbai,3,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
The Fern Goregaon,4.2,Goregaon ,"7,988","2,405",Mumbai,3,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
Mirage Hotel,4.1,Near Mumbai Airport ,"6,126","1,251",Mumbai,3,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
"RELOhomes | 1 BHK Apartment
Like a 4",4.6,Powai ,"5,721","1,420",Mumbai,3,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
Click Hotel Caliph,3.3,Powai ,"4,500",,Mumbai,3,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
HOTEL LEAFIO MARIGOLD,3.7,Near Mumbai Airport ,"3,162",748,Mumbai,3,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"Keys Select by Lemon Tree Hotels, Nestor, Mumbai",3.5,Andheri East ,"3,623","1,288",Mumbai,3,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
Hotel Sea Princess,4.1,Juhu ,"7,952","2,138",Mumbai,3,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
HOTEL WEGO,4.1,Near Mumbai Airport ,"3,495","1,128",Mumbai,3,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
Rodas - An Ecotel Hotel,4.4,Powai ,"7,998","2,150",Mumbai,3,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
The Westin Mumbai Powai Lake,4.3,Powai ,"9,000",,Mumbai,3,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
Mayura Aureole Co-Living,4.2,Goregaon ,"1,496",418,Mumbai,3,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
Sea Green Hotel,3.8,Churchgate ,"4,692","1,265",Mumbai,3,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
ibis Mumbai Vikhroli - An Accor Brand,3.9,Vikhroli West ,"6,299",,Mumbai,3,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
Aboo's Concord Galaxy,3.3,Near Mumbai Airport ,"3,228",831,Mumbai,3,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
The Paradise by Tunga,4,Andheri East ,"5,864","1,424",Mumbai,3,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
Address Dormitory,4,Andheri East ,404,113,Mumbai,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Arnna Hotel - Goregaon,3.8,Goregaon ,"2,919",830,Mumbai,3,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
Ramee Guestline Hotel - Dadar,4.1,South Mumbai,"6,814","1,612",Mumbai,3,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
Hotel Metro Palace,3.6,Bandra West ,"4,064",495,Mumbai,3,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
Hotel Manama,3.5,South Mumbai ,"3,158",747,Mumbai,3,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
Aashiyana Dormitory,3.1,South Mumbai ,630,176,Mumbai,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
T24 Residency,4,Near Mumbai Airport ,"4,099",,Mumbai,3,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"The Taj Mahal Palace, Mumbai",4.7,Colaba ,"27,000",,Mumbai,3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
The Roa Hotel,3.7,Ghatkopar West ,"2,976",608,Mumbai,3,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
Hotel Leafio,3.5,Near Mumbai Airport ,"2,199",264,Mumbai,3,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
The Byke Delotel,3.8,Borivali West,"3,183",903,Mumbai,3,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
The Empresa Hotel,3.8,Andheri West ,"8,099","1,458",Mumbai,3,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
HOTEL KOHINOOR PARK,3.8,South Mumbai ,"3,596","1,118",Mumbai,3,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
The Altruist Business Hotel (Andheri),3.6,Jogeshwari East ,"2,763",711,Mumbai,3,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
Hotel Parle International,3.7,Near Mumbai Airport ,"4,836","1,052",Mumbai,3,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
Ocean Dormitory,3.6,Asalpha ,925,249,Mumbai,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Hotel Beacon T2,3.2,Near Mumbai Airport ,"3,600",851,Mumbai,3,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
Hotel Columbus,3.6,Near Mumbai Airport ,"2,608",567,Mumbai,3,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
Sea Green South Hotel,3.9,Churchgate ,"5,583","1,389",Mumbai,3,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
Hotel Suba International,4.3,Near Mumbai Airport ,"6,700",,Mumbai,3,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
Classic Dormitory,3.8,Andheri East ,572,145,Mumbai,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
The Resort Mumbai,4.2,Madh,"11,811","3,556",Mumbai,4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
The Mirador,3.7,Near Mumbai Airport ,"6,750",810,Mumbai,3,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
The Sahil Hotel,4.2,South Mumbai ,"4,650","1,100",Mumbai,3,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
Avion Hotel,3.3,Near Mumbai Airport ,"4,205","1,033",Mumbai,3,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
Blossom Dormitory ( For Male and Female),3.6,Sakinaka ,678,189,Mumbai,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Comfort Inn Heritage,3.9,South Mumbai,"4,743","1,122",Mumbai,3,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
Hotel Planet Residency,3.8,Near Mumbai Airport ,"3,726","1,028",Mumbai,3,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
Hotel Kohinoor Elite,4.1,Near Mumbai Airport ,"7,250",,Mumbai,3,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
Residency Hotel Andheri,4,Andheri East ,"4,883","1,155",Mumbai,3,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
The Park Kolkata,3.9,New Market Area ,"4,207",886,Kolkata,3,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"Zone By The Park, Kolkata",3.8,New Town,"3,915",926,Kolkata,3,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
JW Marriott Hotel Kolkata,4.4,Tangra,"7,800",,Kolkata,3,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
ibis Kolkata Rajarhat - An Accor Brand,3.9,New Town,"2,220",,Kolkata,3,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
The Lalit Great Eastern Kolkata,4.2,Bow Barracks ,"6,365",764,Kolkata,3,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
ITC Royal Bengal - A Luxury Collection Hotel,4.5,Tangra,"8,925",,Kolkata,3,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
"Lemon Tree Premier, New Town, Kolkata",4.2,New Town,"2,156",782,Kolkata,3,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
Novotel Kolkata Hotel and Residences,4.1,New Town,"5,060",,Kolkata,3,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
All Fresco Hotel,3.7,Baguiati ,"1,637",483,Kolkata,3,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
Regenta Orko's Kolkata,3.9,Kasba ,"3,321",449,Kolkata,3,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"Holiday Inn Express, Kolkata Airport",4.1,Dum Dum ,"4,099",,Kolkata,3,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
Himalayan Inn Guest House - Near TCS Gitobitan,3.3,Salt Lake City,724,257,Kolkata,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Holiday Inn Kolkata Airport,4.1,Chinar Park ,"4,600",,Kolkata,3,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"Taj City Centre New Town, Kolkata",4.4,Rajarhat ,"5,650",,Kolkata,3,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
"Vivanta Kolkata, EM Bypass",4.4,East Kolkata Township,"5,500",,Kolkata,3,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
Hyatt Regency Kolkata,4.2,Salt Lake City ,"5,780",694,Kolkata,3,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
"Bandhan Residency
Like a 3",3.7,Kaikhali ,"1,102",350,Kolkata,3,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
The Oberoi Grand,4.7,New Market Area ,"8,000",,Kolkata,3,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
"Fairfield by Marriott, Kolkata",4.1,New Town,"2,499",,Kolkata,3,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
Ethnotel,4,Dum Dum ,"2,949",621,Kolkata,3,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
Backpackers Park Hostel @ParkStreet,3.8,New Market Area ,893,209,Kolkata,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
THE WESTIN KOLKATA RAJARHAT,4.4,New Town ,"5,699",,Kolkata,3,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
"Taj Bengal, Kolkata",4.6,Alipore,"8,000",,Kolkata,3,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
Hotel Senses,3.9,Salt Lake City ,"3,716","1,016",Kolkata,3,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
ITC Sonar - A Luxury Collection Hotel,4.4,Tangra,"7,225",,Kolkata,3,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
Kenilworth Hotel,4.3,Park Street Area,"6,054",727,Kolkata,3,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
The Peerless Inn,3.9,Near Howrah Train Station ,"4,186",855,Kolkata,3,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
De Sovrani,3.9,Salt Lake City,"2,916",690,Kolkata,3,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"Pride Plaza Hotel, Kolkata",3.9,New Town,"2,800",336,Kolkata,3,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"City Central Hostel, Kolkata",4.6,Kolkata ,736,198,Kolkata,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Siamton Inn - A Cygnett Collection,4,Park Street ,"2,790",677,Kolkata,3,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
Hotel Aauris,4.1,Park Street ,"4,650",950,Kolkata,3,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"Howard Johnson by Wyndham, Kolkata Airport",3.9,Chinar Park ,"2,500",,Kolkata,3,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
Park Prime Kolkata,3.8,Ballygunge,"3,652","1,006",Kolkata,3,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
Joey's Nest,4.7,Salt Lake City ,"2,245",583,Kolkata,3,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
Hotel Hindusthan International,3.6,Bhowanipore,"4,134",978,Kolkata,3,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
Hotel Niharika,4.1,Elgin,"2,790",570,Kolkata,3,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
Vedic Village Spa Resort,4,Vedic Village,"3,688",944,Kolkata,3,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
Park Palace Hotel,3.6,Ballygunge,"1,350",431,Kolkata,3,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
Offbeat CCU Bunkers,4.3,Topsia,944,205,Kolkata,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Monotel Luxury Business Hotel,3.9,Salt Lake City,"3,523",855,Kolkata,3,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
AIRPORT CITY HOTEL,3.9,Birati ,"2,994",767,Kolkata,3,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
The Lindsay,3.5,New Market Area ,"2,907",710,Kolkata,3,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
RituIvy,4,East Kolkata Township,"2,132",588,Kolkata,3,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
Hotel O2 Oxygen,3.8,Near Kolkata Airport ,"2,856",583,Kolkata,3,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
VISITEL - A BOUTIQUE HOTEL,3.8,Kankurgachi,"1,991",590,Kolkata,3,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
IndiSmart Hotel,3.9,Salt Lake City,"1,999",515,Kolkata,3,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
LYNQ AERO,4,Salt Lake City,"3,242",767,Kolkata,3,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"Park Guest House, Kolkata",3.7,Park Street ,"1,045",315,Kolkata,3,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
Regenta Inn Larica,3.6,Chinar Park ,"2,713",419,Kolkata,3,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
Golden Tulip Kolkata,4.1,Salt Lake City,"3,772",770,Kolkata,3,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
The Senator,4.3,Elgin,"2,511",513,Kolkata,3,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
Gallery 67,4.2,Ghose Bagan ,"2,536",737,Kolkata,3,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
CHOWDHURY'S ESTATES,3.5,Elgin,"1,935",480,Kolkata,3,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
Pipal Tree Hotel,4,Chinar Park ,"3,579",846,Kolkata,3,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
Stayotel,4,Dum Dum ,"2,365",672,Kolkata,3,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"Raajkutir, Kolkata - IHCL SeleQtions",4.6,Kankurgachi ,"5,350",,Kolkata,3,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
The Sonnet,4.1,Salt Lake City,"4,937","1,233",Kolkata,3,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"Krishna Kunja | Rooms & Caretaker
Like a 3",4.6,South Dum Dum ,"1,440",418,Kolkata,3,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
Aristocrat Hotel,3.7,New Town,"1,966",409,Kolkata,3,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
The Fern Residency Kolkata,3.8,Chinar Park ,"2,462",582,Kolkata,3,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
Sapphire Suites,3.8,New Market Area ,"3,089",631,Kolkata,3,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
Victoria Hotel,4,Chinar Park ,"2,388",720,Kolkata,3,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
The Pearl Hotel,3.3,Beliaghata ,"1,517",484,Kolkata,3,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
The Astor,4.2,Park Street Area,"4,502",920,Kolkata,3,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
Barsana Boutique Hotel (Pure vegetarian),4.2,Tangra,"3,767",770,Kolkata,3,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
THE MAUREEN KOLKATA,4,Baguiati ,"3,188",671,Kolkata,3,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
The Aster Penthouse,4.2,Ballygunge ,"1,766",532,Kolkata,3,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
The Firangipani Suites,4,New Town,"1,980",484,Kolkata,3,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
